,POS,BIB,ATHLETE,COUNTRY,MARK,Reaction Time,index,name,venue,date,country,event,sex,round,url,ms*
4,5.0,2959.0,Charlotte AFRIAT,MON,12.35,0.131,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,
5,6.0,2830.0,Silina PHA APHAY,LAO,12.41 SB,0.17,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,
6,7.0,3601.0,Hsi-En HSIEH,TPE,12.49 PB,0.171,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,
7,8.0,3040.0,Sarswati CHAUDHARY,NEP,12.91 SB,0.158,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,
8,9.0,2826.0,Yasmeen ALDABBAGH,KSA,13.34,0.153,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,
0,1.0,1023.0,Joella LLOYD,ANT,11.55 Q,0.179,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,
1,2.0,2907.0,Asimenye SIMWAKA,MAW,11.76 Q NR,0.164,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,
2,3.0,2286.0,Alvin TEHUPEIORY,INA,11.89 Q SB,0.194,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,
3,4.0,2956.0,Carla SCICLUNA,MLT,12.11 q,0.152,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,
4,5.0,3149.0,Hanna BARAKAT,PLE,12.16 NR,0.164,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,
5,6.0,3116.0,Mazoon AL ALAWI,OMA,12.35,0.191,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,
6,7.0,2247.0,Aissata Denn CONTE,GUI,12.43 PB,0.157,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,
7,8.0,3685.0,Matie STANLEY,TUV,14.52 PB,0.159,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,
8,9.0,2972.0,Houleye BA,MTN,15.26 PB,0.147,0,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,preliminary-round,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/preliminary-round/result,
0,1.0,3842.0,Teahna DANIELS,USA,11.04 Q,0.136,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
1,2.0,1995.0,Dina ASHER-SMITH,GBR,11.07 Q,0.103,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
2,3.0,1521.0,Murielle AHOURÉ,CIV,11.16 Q SB,0.132,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
3,4.0,1471.0,Manqi GE,CHN,11.20 q,0.149,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
4,5.0,3508.0,Salomé KORA,SUI,11.25,0.146,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
5,6.0,3007.0,Marije VAN HUNENSTIJN,NED,11.27 SB,0.158,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
6,7.0,1023.0,Joella LLOYD,ANT,11.54,0.173,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
7,8.0,2907.0,Asimenye SIMWAKA,MAW,11.68 NR,0.161,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
0,1.0,2521.0,Elaine THOMPSON-HERAH,JAM,10.82 Q,0.158,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
1,2.0,3506.0,Mujinga KAMBUNDJI,SUI,10.95 Q =NR,0.111,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
2,3.0,2130.0,Tatjana PINTO,GER,11.16 Q,0.164,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
3,4.0,1383.0,Khamica BINGHAM,CAN,11.21 q,0.156,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
4,5.0,1300.0,Rosângela SANTOS,BRA,11.33 SB,0.18,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
5,6.0,3616.0,Kelly-Ann BAPTISTE,TTO,11.48,0.15,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
6,7.0,2394.0,Vittoria FONTANA,ITA,11.53,0.149,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
7,8.0,2286.0,Alvin TEHUPEIORY,INA,11.92,0.189,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
0,1.0,2097.0,Alexandra BURGHARDT,GER,11.08 Q,0.133,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
1,2.0,3878.0,Javianne OLIVER,USA,11.15 Q,0.15,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
2,3.0,2383.0,Anna BONGIORNI,ITA,11.35 Q,0.147,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
3,4.0,4018.0,Roda NJOBVU,ZAM,11.40,0.13,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,0.394
4,5.0,1478.0,Xiaojing LIANG,CHN,11.40,0.159,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,0.396
5,6.0,1150.0,Tristan EVELYN,BAR,11.42,0.125,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
6,7.0,3461.0,Maggie BARRIE,SLE,11.45 SB,0.148,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
7,8.0,2316.0,Fasihi FARZANEH,IRI,11.79,0.143,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
0,1.0,1522.0,Marie-Josée TA LOU,CIV,10.78 Q =AR,0.161,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
1,2.0,2016.0,Daryll NEITA,GBR,10.96 Q PB,0.107,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
2,3.0,1393.0,Crystal EMMANUEL,CAN,11.18 Q,0.148,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
3,4.0,3224.0,Lorène Dorcas BAZOLO,POR,11.31,0.134,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
4,5.0,3464.0,Maja MIHALINEC ZIDAR,SLO,11.54 SB,0.13,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
5,6.0,1702.0,Ángela Gabriela TENORIO,ECU,11.59,0.137,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
6,7.0,3459.0,Amya CLARKE,SKN,11.71,0.153,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
7,,1299.0,Vitoria Cristina ROSA,BRA,DNS,,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
0,1.0,2480.0,Shelly-Ann FRASER-PRYCE,JAM,10.84 Q,0.128,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
1,2.0,3499.0,Ajla DEL PONTE,SUI,10.91 Q NR,0.131,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
2,3.0,3048.0,Nzubechi Grace NWOKOCHA,NGR,11.00 Q PB,0.161,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
3,4.0,1993.0,Gina BASS,GAM,11.12 q NR,0.134,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
4,5.0,2216.0,Rafalia SPANOUDAKI-CHATZIRIGA,GRE,11.45,0.133,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
5,6.0,1367.0,Inna EFTIMOVA,BUL,11.46,0.145,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
6,7.0,2288.0,Dutee CHAND,IND,11.54,0.148,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
7,8.0,2956.0,Carla SCICLUNA,MLT,12.16,0.178,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
0,1.0,2019.0,Asha PHILIP,GBR,11.31 Q,0.11,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
1,2.0,1130.0,TyNia GAITHER,BAH,11.34 Q,0.141,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
2,3.0,1244.0,Krystsina TSIMANOUSKAYA,BLR,11.47,0.149,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
3,4.0,1773.0,Maria Isabel PÉREZ,ESP,11.51,0.151,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
4,5.0,1452.0,Natacha NGOYE AKAMABI,CGO,11.52,0.137,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
5,6.0,2905.0,Azreen NABILA ALIAS,MAS,11.91,0.173,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
6,,3050.0,Blessing OKAGBARE,NGR,DQ,0.147,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
0,1.0,3615.0,Michelle-Lee AHYE,TTO,11.06 Q,0.123,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
1,2.0,2491.0,Shericka JACKSON,JAM,11.07 Q,0.17,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
2,3.0,3882.0,Jenna PRANDINI,USA,11.11 Q =SB,0.148,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
3,4.0,2367.0,Diana VAISMAN,ISR,11.27 SB,0.132,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
4,5.0,1041.0,Hana BASIC,AUS,11.32,0.147,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
5,6.0,1487.0,Yongli WEI,CHN,11.48 SB,0.174,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
6,7.0,2250.0,Jasmine ABRAMS,GUY,11.49,0.148,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
7,8.0,2828.0,Mudhawi ALSHAMMARI,KUW,11.81,0.167,1,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,heats,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/heats/result,
0,1.0,2521.0,Elaine THOMPSON-HERAH,JAM,10.76 Q,0.157,2,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/semi-final/result,
1,2.0,3499.0,Ajla DEL PONTE,SUI,11.01 Q,0.109,2,The XXXII Olympic Games (Athletics),"Olympic Stadium, Tokyo",30 JUL 2021 - 08 AUG 2021,JPN,100-metres,women,semi-final,https://www.worldathletics.org/results/olympic-games/2021/the-xxxii-olympic-games-athletics-6568/women/100-metres/semi-final/result,
